"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","26946","test_reserve[chrome-row-1]","chrome","2026-08-23","broken","2026-08-23","functions","test_reserve","",""
"","1721","test_signup[chrome-row-2]","chrome","2026-08-23","passed","2026-08-23","functions","test_signup","",""
"","553","test_login[chrome-row-4]","chrome","2026-08-23","passed","2026-08-23","functions","test_login","",""
"","1650","test_signup[chrome-row-3]","chrome","2026-08-23","passed","2026-08-23","functions","test_signup","",""
"","527","test_login[chrome-row-3]","chrome","2026-08-23","passed","2026-08-23","functions","test_login","",""
"","13217","test_signup[chrome-row-4]","chrome","2026-08-23","passed","2026-08-23","functions","test_signup","",""
"","1745","test_signup[chrome-row-5]","chrome","2026-08-23","passed","2026-08-23","functions","test_signup","",""
"","702","test_login[chrome-row-2]","chrome","2026-08-23","passed","2026-08-23","functions","test_login","",""
"","26695","test_reserve[chrome-row-2]","chrome","2026-08-23","broken","2026-08-23","functions","test_reserve","",""
"","1088","test_login[chrome-row-1]","chrome","2026-08-23","passed","2026-08-23","functions","test_login","",""
"","8041","test_signup[chrome-row-1]","chrome","2026-08-23","passed","2026-08-23","functions","test_signup","",""
